User ID,User URL,Name,Unique Name,Unique Domain,Unique ID,Domain,Sales,Address,Website,Website_link,Published,Purchase,Description,Reviews
xzolll7po7z9,https://wallapop.com/app/user/xzolll7po7z9,Flexicar B.,Flexicar,flexicar.es,flexicar.es,flexicar.es,76767,"España, 08907, l'Hospitalet de Llobregat, Carretera del Mig, 96",Go to the website,https://www.flexicar.es,6999,0,"Para Comprar o Vender tu coche, Primero en FLEXICAR.ES. Somos los nº1 con la mayor red de concesionarios de España de vehículos de segunda mano, seminuevos y km 0. Visita nuestra web www.flexicar.es y pide cita en tu concesionario más cercano",
mxzo3g5l7wz9,https://wallapop.com/app/user/mxzo3g5l7wz9,FLEXICAR V.,Flexicar,flexicar.es,flexicar.es,flexicar.es,76283,"España, Paterna, Carrer Ciutat de Llíria",Go to the website,https://www.flexicar.es,7000,0,"Para Comprar o Vender tu coche, Primero en FLEXICAR.ES. Somos los nº1 con la mayor red de concesionarios de España de vehículos de segunda mano, seminuevos y km 0. Visita nuestra web www.flexicar.es y pide cita en tu concesionario más cercano",
xzolre9g44z9,https://wallapop.com/app/user/xzolre9g44z9,Flexicar M.,Flexicar,flexicar.es,flexicar.es,flexicar.es,71917,"España, Leganés, Calle Rey Pastor, 32",Go to the website,https://www.flexicar.es,7000,0,"Para Comprar o Vender tu coche, Primero en FLEXICAR.ES. Somos los nº1 con la mayor red de concesionarios de España de vehículos de segunda mano, seminuevos y km 0. Visita nuestra web www.flexicar.es y pide cita en tu concesionario más cercano",
0j2w4rdnqrjy,https://wallapop.com/app/user/0j2w4rdnqrjy,FLEXICAR S.,Flexicar,flexicar.es,flexicar.es,flexicar.es,76089,"Calle Artesanía 3, 41927, Mairena del Aljarafe, Sevilla, Andalucía, ESP",Go to the website,https://www.flexicar.es,7001,0,"Para Comprar o Vender tu coche, Primero en FLEXICAR.ES. Somos los nº1 con la mayor red de concesionarios de España de vehículos de segunda mano, seminuevos y km 0. Visita nuestra web www.flexicar.es y pide cita en tu concesionario más cercano",
4z4v0oepg8zy,https://wallapop.com/app/user/4z4v0oepg8zy,OCASIONPLUS H.,OcasionPlus,ocasionplus.com,ocasionplus.com,ocasionplus.com,19629,"España, Huelva, 21007, Huelva, Plaza San Diego, 41",Go to the website,https://www.ocasionplus.com,4000,0,"OcasionPlus, ahora también en Huelva. Encuentra tu coche de segunda mano al mejor precio y, si nos dejas el tuyo como parte del pago, te sobrevaloramos su precio. Visítanos!",
xzo8xklqd769,https://wallapop.com/app/user/xzo8xklqd769,OCASIONPLUS O.,OcasionPlus,ocasionplus.com,ocasionplus.com,ocasionplus.com,19930,"España, Principado de Asturias, Asturias, 33199, Siero, Meres",Go to the website,https://www.ocasionplus.com,4000,0,"OcasionPlus, ahora también en Meres, Asturias. Encuentra tu coche de segunda mano al mejor precio y, si nos dejas el tuyo como parte del pago, te sobrevaloramos su precio. Visítanos!",
xzo8xk2mq469,https://wallapop.com/app/user/xzo8xk2mq469,OCASIONPLUS C.,OcasionPlus,ocasionplus.com,ocasionplus.com,ocasionplus.com,15793,"España, Córdoba, 14013, Córdoba, Avenida Ingeniero Juan de la Cierva",Go to the website,https://www.ocasionplus.com,1971,0,"OcasionPlus, ahora también en Córdoba, Polígono La Torrecilla. Encuentra tu coche de segunda mano al mejor precio y, si nos dejas el tuyo como parte del pago, te sobrevaloramos su precio. Visítanos!",
pj9yndyxwm6e,https://wallapop.com/app/user/pj9yndyxwm6e,OCASIONPLUS M.,OcasionPlus,ocasionplus.com,ocasionplus.com,ocasionplus.com,17154,"España, 30007, Murcia, La Paz, Avenida Arquitecto Miguel Ángel Beloqui",Go to the website,https://www.ocasionplus.com,1983,0,"OcasionPlus, ahora también en Murcia. Encuentra tu coche de segunda mano al mejor precio y, si nos dejas el tuyo como parte del pago, te sobrevaloramos su precio. Visítanos!",
xzo8ge9n2469,https://wallapop.com/app/user/xzo8ge9n2469,OCASIONPLUS A.,OcasionPlus,ocasionplus.com,ocasionplus.com,ocasionplus.com,17394,"España, 03006, Alicante, Plaza de la Luna",Go to the website,https://www.ocasionplus.com,1881,0,"OcasionPlus, ahora también en Alicante. Encuentra tu coche de segunda mano al mejor precio y, si nos dejas el tuyo como parte del pago, te sobrevaloramos su precio. Visítanos!",
xzo8xlnkpl69,https://wallapop.com/app/user/xzo8xlnkpl69,Ocasionplus T.,OcasionPlus,ocasionplus.com,ocasionplus.com,ocasionplus.com,8916,"Calle Las Palomas, 45280, Olías del Rey, Toledo, Castilla-La Mancha, ESP",Go to the website,https://www.ocasionplus.com,2000,0,"OcasionPlus, ahora también en Olías del Rey, Toledo. Encuentra tu coche de segunda mano al mejor precio y, si nos dejas el tuyo como parte del pago, te sobrevaloramos su precio. Visítanos!",
8j3ypvy5qy69,https://wallapop.com/app/user/8j3ypvy5qy69,OCASIONPLUS Z.,OcasionPlus,ocasionplus.com,ocasionplus.com,ocasionplus.com,17357,"España, 50013, Zaragoza, Las Fuentes, Camino de Enmedio, 3",Go to the website,https://www.ocasionplus.com,1990,0,"OcasionPlus, ahora también en Zaragoza. Encuentra tu coche de segunda mano al mejor precio y, si nos dejas el tuyo como parte del pago, te sobrevaloramos su precio. Visítanos!",
xzo8xkrm3769,https://wallapop.com/app/user/xzo8xkrm3769,OCASIONPLUS C.,OcasionPlus,ocasionplus.com,ocasionplus.com,ocasionplus.com,16223,"España, 14014, Córdoba, Calle Simón Carpintero, 96",Go to the website,https://www.ocasionplus.com,1968,0,"OcasionPlus, ahora también en Córdoba, Las Quemadas 2. Encuentra tu coche de segunda mano al mejor precio y, si nos dejas el tuyo como parte del pago, te sobrevaloramos su precio. Visítanos!",
